_id,datasetfields_datautility_title,datasetfields_datautility_allowable_uses,datasetfields_metadataschema_url,pid,datasetv2_summary_publisher_name,datasetv2_summary_publisher_memberOf,datasetv2_accessibility_usage_dataUseLimitation,datasetv2_accessibility_usage_dataUseRequirements
5f315c90a77e66a37134f5e6,ARIA Medonc,,https://healthdatagateway.org/detail/172242ce-a1c5-4915-9c71-686f6e7d5789,88eb839c-bc51-45f0-b15e-ea89bba9ffca,OXFORD UNIVERSITY HOSPITALS,ALLIANCE,[],[]
5f315c91a77e66a37134f5e7,ARIA Radonc,,https://healthdatagateway.org/detail/5e022f8f-4d07-44bb-a87c-43e31200fe1e,59d72237-6969-4f59-9e87-48138978abe8,OXFORD UNIVERSITY HOSPITALS,ALLIANCE,[],[]
5f315cc2a77e66a37134f5f9,Bridge file: Hospital Episode Statistics to Diagnostic Imaging Dataset,,https://healthdatagateway.org/detail/3935e2fd-0c30-4f56-8388-45a02e0499b4,2f73575d-23c8-4bb8-87db-115cde076127,NHS DIGITAL,ALLIANCE,[],[]
5f315cc4a77e66a37134f5fa,Bridge file: Hospital Episode Statistics to Mental Health Minimum Data Set,,https://healthdatagateway.org/detail/8d3f80d4-aeae-46f0-809b-cd6c51e24f75,31bb8022-f8b1-405a-a22f-140f7c4b4fa6,NHS DIGITAL,ALLIANCE,[],[]
5f315ce0a77e66a37134f608,CRIS,,https://healthdatagateway.org/detail/84de0d13-f5bd-4c22-83d3-e1adb00d5a72,67cea834-33f5-4ed7-9dc2-072ad077de07,OXFORD UNIVERSITY HOSPITALS,ALLIANCE,[],[]
5f315cf6a77e66a37134f615,CellPath,,https://healthdatagateway.org/detail/fc7b44f0-eb69-4257-8c07-7516c1210c46,c4538af4-505f-45df-aeae-788ddfd7cb54,OXFORD UNIVERSITY HOSPITALS,ALLIANCE,[],[]
5f315db2a77e66a37134f644,Endobase,,https://healthdatagateway.org/detail/40573895-497b-4d47-90e1-6aafe70b93f6,e830b2a5-14d6-4643-a206-619bf5372dc8,OXFORD UNIVERSITY HOSPITALS,ALLIANCE,[],[]
5f315e34a77e66a37134f66d,HES:Civil Registration (Deaths) bridge,Platinum ,https://healthdatagateway.org/detail/86d7088b-7a15-4e9a-b2b0-857a67e04650,21aec912-444f-447d-b3c4-6791a6c82667,NHS DIGITAL,ALLIANCE,[],[]
5f315e39a77e66a37134f66e,HIC Acute Coronary Syndromes,,https://healthdatagateway.org/detail/844f3be0-f50d-4a88-9783-0928ad1c2aad,869a9b4e-3537-449f-9a59-a0eac523c4e4,NIHR Health Informatics Collaborative Cardiovascular Theme,OTHER,[],[]
5f315e48a77e66a37134f66f,HIC Hepatitis v2,,https://healthdatagateway.org/detail/73f54071-62bf-48f5-8be1-569208b18ab8,66be725a-b950-4bf8-9a35-7e33ce765a25,NIHR Health Informatics Collaborative Viral Hepatitis Theme,OTHER,[],[]
