_id,pid,Member Of,Publisher,Dataset Name,URL
5f315e34a77e66a37134f66d,21aec912-444f-447d-b3c4-6791a6c82667,ALLIANCE,NHS DIGITAL,HES:Civil Registration (Deaths) bridge,https://healthdatagateway.org/detail/86d7088b-7a15-4e9a-b2b0-857a67e04650
5f31633410d5b8a86e38eece,f3bb6a68-2c32-40a7-9a79-61a718068893,ALLIANCE,NHS DIGITAL,Mental Health Services Data Set - Community,https://healthdatagateway.org/detail/0c98200b-48b5-418a-b8d0-a7708abc1f39
5f31633510d5b8a86e38eecf,add485fa-4c54-4a3e-8676-abe2ff4725a5,ALLIANCE,NHS DIGITAL,Mental Health Services Data Set - Currencies,https://healthdatagateway.org/detail/9b7f7994-0b9c-4809-b67d-45ae1f04ec5c
5f31633610d5b8a86e38eed0,275ac6a4-798b-4f49-a25e-008245050bbc,ALLIANCE,NHS DIGITAL,Mental Health Services Data Set - Inpatients,https://healthdatagateway.org/detail/8eace3c2-1dc8-4708-9350-ad129b7d2bc9
5f31633610d5b8a86e38eed1,f48ad0a1-f90c-4a81-8c04-b23f2d8baf7a,ALLIANCE,NHS DIGITAL,Mental Health Services Data Set - Service Users,https://healthdatagateway.org/detail/1d5e3b05-8ce3-4f80-ae3a-f6031ad8cf69
5fdade7d2f320c44deb70515,696cfc9f-090d-4328-94ac-140760a77c73,ALLIANCE,NHS DIGITAL,GPES Data for Pandemic Planning and Research (COVID-19),https://healthdatagateway.org/detail/f56d5407-4a7e-420e-8479-87b075da2b39
5ff7df2a1fb2698e819b7764,98999c67-0133-4f11-be95-b84ee5727c84,ALLIANCE,GENOMICS ENGLAND,GENOMICS ENGLAND 100K BIOINFORMATICS DATA,https://healthdatagateway.org/detail/1900af1a-bd21-4157-ac48-203eec682073
6006b0b3dc02d6d666180c33,14c31b39-f189-4417-bd38-635268495593,ALLIANCE,GENOMICS ENGLAND,GENOMICS ENGLAND 100K NHSD LINKED DATA,https://healthdatagateway.org/detail/2d4b933d-1c8b-4fde-860e-c324454d28f9
6006b0bfdc02d6d666180c34,ea748742-568a-46e2-b603-2fada49024e1,ALLIANCE,GENOMICS ENGLAND,GENOMICS ENGLAND 100K PHE LINKED DATA,https://healthdatagateway.org/detail/62c01293-83a5-4d4d-9d36-9d7aa2bf120f
6006b0c1dc02d6d666180c35,4cc5ed33-3190-4f80-953b-cabd5a2b1c7c,ALLIANCE,GENOMICS ENGLAND,GENOMICS ENGLAND 100K QUICK VIEW,https://healthdatagateway.org/detail/15efea36-d022-495c-a5b6-90f51631a643
6006b0cddc02d6d666180c36,3f2b37f1-e8f7-42e5-83c4-fc9e1c58725d,ALLIANCE,GENOMICS ENGLAND,GENOMICS ENGLAND 100K RARE DISEASE & COMMON,https://healthdatagateway.org/detail/239e8253-a997-4676-8940-16b74a004365
600bac02d6b46552932f51b4,9a434a5c-563b-4da1-9133-9994960ade54,ALLIANCE,NHS DIGITAL,National Diabetes Audit,https://healthdatagateway.org/detail/c2e112a0-a198-46b0-9a0c-ec91edfb6839
601010952f3a52ffa3a71865,31f0148b-f965-4136-ab39-6c5bbbf8c2d9,ALLIANCE,NHSX,The National COVID-19 Chest Imaging Database,https://healthdatagateway.org/detail/77824298-ef3b-40f7-a0a4-b6dedb2e7a02
602b9b4031ccebfb7f93a840,86838cad-d5d3-4b65-9c37-29b0c8c36309,HUB,BREATHE,Salford Lung Study,https://healthdatagateway.org/detail/a8f5117e-7523-452f-abf3-ced72f03cb2e
602e584bc500bd91f5d27f07,dd4629c0-14b6-4cba-8dcf-31ec5fea68bb,HUB,PIONEER,Coagulopathies & arterial/venous thrombosis in COVID patients: an OMOP dataset,https://healthdatagateway.org/detail/e22f93fb-bc08-44eb-b292-dc2baf0ad343
